Name	trailheadapp__API_Name__c	trailheadapp__Created_At__c	trailheadapp__Description__c	trailheadapp__External_Id__c	trailheadapp__Icon__c	trailheadapp__Level__c	trailheadapp__Namespace__c	trailheadapp__Products__c	trailheadapp__Roles__c	trailheadapp__Tags__c	trailheadapp__Type__c	trailheadapp__URL__c
Salesforce B2C Commerce Replication	b2c-admin-replication	2019-04-30T00:00:00.000Z	Securely move data and code between your B2C Commerce instances.	m-10838	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/b2c-admin-replication/aadc4d7746c932c3b85454c96311b5df_badge.png	Intermediate	learn	Commerce Cloud	Admin	General	Module	https://developer.salesforce.com/trailhead/module/b2c-admin-replication/
Google Analytics 360 Integration for Sales Cloud	google-analytics-360-sales-cloud	2019-03-27T00:00:00.000Z	Combine offline and online data for better insights and deeper customer relationships.	m-9208	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/google-analytics-360-sales-cloud/a7e47f4428e6da9f69b69e51f3da1466_badge.png	Beginner	learn	Einstein Analytics, Marketing Cloud, Salesforce Platform, Sales Cloud	Business User, Admin	Integration	Module	https://developer.salesforce.com/trailhead/module/google-analytics-360-sales-cloud/
Salesforce and Google Partnership	salesforce-google-partnership	2019-03-27T00:00:00.000Z	Market smarter and boost productivity with our leading platform integrations.	m-9209	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/salesforce-google-partnership/a43e098e400b3956f245a494e2d38ee1_badge.png	Beginner	learn	General, Einstein Analytics, Marketing Cloud, Salesforce Platform, Sales Cloud	Business User, Admin	Integration, Reporting	Module	https://developer.salesforce.com/trailhead/module/salesforce-google-partnership/
Getting Started!	getting-started	2019-03-29T00:00:00.000Z	Hit the ground running with Salesforce CRM.	m-9282	/resource/demoboothdemogettingstarted	Beginner	demobooth-demo	General	Business User	CRM	Module	https://demobooth-demo.my.trailhead.com/content/demobooth-demo/modules/getting-started/
Manage Leads	manage--demobooth2	2019-03-29T00:00:00.000Z	Explore effective techniques and best practices for managing leads at Pacifica.	m-9283	/resource/demoboothdemomanagedemobooth2	Intermediate	demobooth-demo	General	Business User	CRM	Module	https://demobooth-demo.my.trailhead.com/content/demobooth-demo/modules/manage--demobooth2/
Sales Cloud Basics	getting-demobooth3	2019-03-29T00:00:00.000Z	Hit the ground running with Salesforce CRM.	m-9284	/resource/demoboothdemogettingdemobooth3	Beginner	demobooth-demo	General	Business User	CRM	Module	https://demobooth-demo.my.trailhead.com/content/demobooth-demo/modules/getting-demobooth3/
Sales at Pacifica	getting-demobooth4	2019-03-30T00:00:00.000Z	Learn opportunity and pipeline basics.	m-9293	/resource/demoboothdemogettingdemobooth4	Beginner	demobooth-demo	General	Business User	CRM	Module	https://demobooth-demo.my.trailhead.com/content/demobooth-demo/modules/getting-demobooth4/
Using Reports & Dashboards	getting-demobooth6	2019-03-29T00:00:00.000Z	Supercharge issue resolution and make customers happy.	m-9286	/resource/demoboothdemogettingdemobooth6	Beginner	demobooth-demo	General	Business User	CRM	Module	https://demobooth-demo.my.trailhead.com/content/demobooth-demo/modules/getting-demobooth6/
Selling Basics at Telstra	getting-demobooth5	2019-03-29T00:00:00.000Z	Learn the basics of accounts, contacts and how to communicate with prospects.	m-9287	/resource/demoboothdemogettingdemobooth5	Beginner	demobooth-demo	General	Business User	CRM	Module	https://demobooth-demo.my.trailhead.com/content/demobooth-demo/modules/getting-demobooth5/
Using Reports & Dashboards at Pacifica	getting-demobooth8	2019-04-19T00:00:00.000Z	Supercharge issue resolution and make customers happy.	m-10315	/resource/demoboothdemogettingdemobooth8	Beginner	demobooth-demo	General	Business User	CRM	Module	https://demobooth-demo.my.trailhead.com/content/demobooth-demo/modules/getting-demobooth8/
