Name	trailheadapp__API_Name__c	trailheadapp__Created_At__c	trailheadapp__Description__c	trailheadapp__External_Id__c	trailheadapp__Icon__c	trailheadapp__Level__c	trailheadapp__Namespace__c	trailheadapp__Products__c	trailheadapp__Roles__c	trailheadapp__Tags__c	trailheadapp__Type__c	trailheadapp__URL__c
Salesforce & Heroku Integration	salesforce_heroku_integration	2019-04-30T00:00:00.000Z	Learn patterns and methodology of integrating apps on Heroku with Salesforce.	m-10844	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/salesforce_heroku_integration/3da2451d169f45cb93b5c3bf57f13e86_badge.png	Intermediate	learn	Salesforce Platform	Developer	Heroku	Module	https://developer.salesforce.com/trailhead/module/salesforce_heroku_integration/
The Value of Sleep	value-of-sleep	2018-09-24T00:00:00.000Z	Get tips for better, more restorative sleep so you're ready to live your best life.	m-5205	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/value-of-sleep/ceb840f3a56ed079d6c596fb579632a4_badge.png	Beginner	learn	General	Business User	General	Module	https://developer.salesforce.com/trailhead/module/value-of-sleep/
Spring '18 Release Highlights	spring-18-release-highlights	2019-05-25T00:00:00.000Z	Explore highlights from the Spring '18 release.	m-12598	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/spring-18-release-highlights/27e0b1a9a89666409cfb724e44a13182_badge.png	Beginner	learn	General	Business User, Admin, Developer	General	Module	https://developer.salesforce.com/trailhead/module/spring-18-release-highlights/
Large Data Volumes	large-data-volumes	2018-09-24T00:00:00.000Z	Plan for and work with large data volumes within Salesforce.	m-5208	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/large-data-volumes/88e282087e5037a0881b615c7a9f2f01_badge.png	Advanced	learn	Salesforce Platform	Developer	Data Management	Module	https://developer.salesforce.com/trailhead/module/large-data-volumes/
Governance Basics	governance-basics	2019-05-25T00:00:00.000Z	Learn the Salesforce approach to managing technology projects and teams.	m-12511	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/governance-basics/3c4f80375335c20b92fca8b01bfb05e6_badge.png	Beginner	learn	Salesforce Success Cloud	Admin, Developer	App Lifecycle	Module	https://developer.salesforce.com/trailhead/module/governance-basics/
Git and GitHub Basics	git-and-git-hub-basics	2018-09-24T00:00:00.000Z	Learn about version control systems and practice using Git and GitHub.	m-5214	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/git-and-git-hub-basics/18ac221379d887006bf95555ad307e05_badge.png	Beginner	learn	General	Developer	App Lifecycle	Module	https://developer.salesforce.com/trailhead/module/git-and-git-hub-basics/
AppExchange Checkout	appexchange-checkout	2019-05-25T00:00:00.000Z	Learn how Checkout helps you manage online payments and monitor sales for your solutions.	m-12462	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/appexchange-checkout/778a3b05cf1832943775dd55ee9f3d8b_badge.png	Beginner	learn	Salesforce Platform	Business User, Admin	Partner	Module	https://developer.salesforce.com/trailhead/module/appexchange-checkout/
Digital Banking Basics	digital-banking-basics	2019-05-25T00:00:00.000Z	Learn about key industry trends and how banks can use Salesforce to adapt to them.	m-12497	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/digital-banking-basics/1440ad6bf12c287e32d6cd855bf5be1c_badge.png	Beginner	learn	General	Business User	CRM	Module	https://developer.salesforce.com/trailhead/module/digital-banking-basics/
Summer ’18 Release Highlights	summer-18-release-highlights	2019-05-25T00:00:00.000Z	Explore highlights from the Summer '18 release.	m-12597	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/summer-18-release-highlights/f90a4a7679d8b1e52612f1f1d25f11e9_badge.png	Beginner	learn	General	Admin	General	Module	https://developer.salesforce.com/trailhead/module/summer-18-release-highlights/
Database & .NET Basics	database_basics_dotnet	2019-05-25T00:00:00.000Z	Take what you know about SQL and apply that to SOQL, SOSL, and DML in Apex.	m-12491	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/database_basics_dotnet/bfd454ada41454124fbad1c83b6e0c3a_badge.png	Beginner	learn	Salesforce Platform	Developer	Database	Module	https://developer.salesforce.com/trailhead/module/database_basics_dotnet/
Atlassian Overview of Agile Frameworks	agile-frameworks-scrum-and-kanban	2018-09-24T00:00:00.000Z	Get insights from Atlassian on the two most popular agile frameworks: Scrum and Kanban.	m-5228	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/agile-frameworks-scrum-and-kanban/2a5543eb60ce3ed5c645eec25f052ed6_badge.png	Beginner	learn	Salesforce Platform	Developer	App Lifecycle	Module	https://developer.salesforce.com/trailhead/module/agile-frameworks-scrum-and-kanban/
Premier Success Plans	premier-success-plans	2018-09-24T00:00:00.000Z	Learn what the Premier Success Plans have to offer.	m-5229	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/premier-success-plans/5f81e2ec1959a2413f52ab474945ca95_badge.png	Beginner	learn	Salesforce Success Cloud	Admin	General	Module	https://developer.salesforce.com/trailhead/module/premier-success-plans/
Donation Management Basics with Nonprofit Success Pack	donation-management-basics-with-nonprofit-success-pack	2019-03-26T00:00:00.000Z	Learn how to manage donations with Nonprofit Success Pack.	m-9106	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/donation-management-basics-with-nonprofit-success-pack/7ae94047a84e0eae08911cf35ab2c08f_badge.png	Beginner	learn	Nonprofit Cloud	Business User	CRM, Data Management	Module	https://developer.salesforce.com/trailhead/module/donation-management-basics-with-nonprofit-success-pack/
Fundraising Reports and Dashboards with Nonprofit Success Pack	fundraising-reports-and-dashboards-with-nonprofit-success-pack	2019-03-26T00:00:00.000Z	Access real-time reports and charts to visualize your fundraising metrics.	m-9108	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/fundraising-reports-and-dashboards-with-nonprofit-success-pack/74224ba1e5e83057cdd91f8ae93c73f2_badge.png	Beginner	learn	Nonprofit Cloud	Business User	CRM, Reporting	Module	https://developer.salesforce.com/trailhead/module/fundraising-reports-and-dashboards-with-nonprofit-success-pack/
Moves Management with Nonprofit Success Pack	moves-management-with-nonprofit-success-pack	2019-03-26T00:00:00.000Z	Move a donor or funder from cultivation through solicitation.	m-9109	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/moves-management-with-nonprofit-success-pack/f4c25aa06f11f160acad6f07bed7a1f3_badge.png	Beginner	learn	Nonprofit Cloud	Business User	CRM, Data Management	Module	https://developer.salesforce.com/trailhead/module/moves-management-with-nonprofit-success-pack/
Sales Cloud Configuration Basics	sales-cloud-configuration-basics	2019-05-25T00:00:00.000Z	Customize Sales Cloud to fit your business needs.	m-12574	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/sales-cloud-configuration-basics/4470c9a5d0982bfff387efdcc9196b01_badge.png	Beginner	learn	Sales Cloud	Business User, Admin	CRM, Data Management, Database	Module	https://developer.salesforce.com/trailhead/module/sales-cloud-configuration-basics/
Blockchain Basics	blockchain-basics	2019-01-24T00:00:00.000Z	Learn about blockchain technology and how it's applied in business.	m-7331	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/blockchain-basics/0e243744478fa78dbabc57dd9582f4d9_badge.png	Beginner	learn	General	Business User	General	Module	https://developer.salesforce.com/trailhead/module/blockchain-basics/
Analytics App Template Development	wave_analytics_templates_intro	2019-05-25T00:00:00.000Z	Use templates to distribute Einstein Analytics apps to your partners and customers.	m-12604	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/wave_analytics_templates_intro/558b924812be7bf0b17c1aef387c7892_badge.png	Intermediate	learn	Einstein Analytics	Admin	Reporting	Module	https://developer.salesforce.com/trailhead/module/wave_analytics_templates_intro/
Einstein Bots Basics	service_bots_basics	2019-02-26T00:00:00.000Z	Learn how to make customer service smarter and easier with chatbots.	m-8116	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/service_bots_basics/071966f5b0322ebb14e22f070f33abfb_badge.png	Beginner	learn	Service Cloud	Admin	CRM	Module	https://developer.salesforce.com/trailhead/module/service_bots_basics/
Data Security	data_security	2019-05-25T00:00:00.000Z	Control access to data using point-and-click security tools.	m-12498	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/data_security/ee6440dbd70febb184ba0a8f7fcd70eb_badge.png	Intermediate	learn	Salesforce Platform	Admin, Developer	Security	Module	https://developer.salesforce.com/trailhead/module/data_security/
Picklist Administration	picklist_admin	2019-01-29T00:00:00.000Z	Choose the right picklist field for the job, manage picklists, and share picklist values.	m-7359	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/picklist_admin/2f4c2bb3463638506f20f88902482531_badge.png	Intermediate	learn	General	Admin	General	Module	https://developer.salesforce.com/trailhead/module/picklist_admin/
Aura Components Basics	lex_dev_lc_basics	2019-05-25T00:00:00.000Z	Use Aura components to build modern web apps with reusable UI components.	m-12536	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/lex_dev_lc_basics/139568f823c60ec11bcfe161b67c0ea9_badge.png	Intermediate	learn	Salesforce Platform, Lightning	Developer	Visualforce	Module	https://developer.salesforce.com/trailhead/module/lex_dev_lc_basics/
Application Lifecycle and Development Models	application-lifecycle-and-development-models	2019-05-25T00:00:00.000Z	Learn how to use application lifecycle and development models on the Lightning Platform.	m-12466	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/application-lifecycle-and-development-models/01d1ea3fabf1bbb3a1aa182a648d1a29_badge.png	Intermediate	learn	Salesforce Platform	Developer	App Lifecycle	Module	https://developer.salesforce.com/trailhead/module/application-lifecycle-and-development-models/
Visualforce & Lightning Experience	lex_dev_visualforce	2019-01-29T00:00:00.000Z	Learn how to use Visualforce to customize your Lightning Experience.	m-7362	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/lex_dev_visualforce/7998e9bbdff36b923bb01ff7a5f918f5_badge.png	Intermediate	learn	Lightning	Developer	Visualforce	Module	https://developer.salesforce.com/trailhead/module/lex_dev_visualforce/
Architecture of Salesforce B2C Commerce	architecture-of-commerce-cloud-digital	2019-04-02T00:00:00.000Z	Learn the architecture and tools you use to develop for Salesforce B2C Commerce.	m-9430	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/architecture-of-commerce-cloud-digital/2bdd4fa27c62f145e7ba356d3eaacd5e_badge.png	Intermediate	learn	Commerce Cloud	Developer	General	Module	https://developer.salesforce.com/trailhead/module/architecture-of-commerce-cloud-digital/
Gmail Integration	gmail_integration	2019-03-27T00:00:00.000Z	Help reps track customer interactions and work their Salesforce deals directly in Gmail.	m-9207	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/gmail_integration/5b87b7e5c9efe3c659bd152d300df6f3_badge.png	Intermediate	learn	Sales Cloud, Lightning	Admin	Integration, CRM	Module	https://developer.salesforce.com/trailhead/module/gmail_integration/
Lightning Alternatives to JavaScript Buttons	lex_javascript_button_migration	2019-05-25T00:00:00.000Z	Discover Lightning-friendly solutions for your JavaScript button use cases.	m-12537	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/lex_javascript_button_migration/5061f1abd70d3ff8e1650e384ce24d5d_badge.png	Intermediate	learn	Salesforce Platform, Lightning	Developer	App Logic	Module	https://developer.salesforce.com/trailhead/module/lex_javascript_button_migration/
Apex Basics & Database	apex_database	2019-05-25T00:00:00.000Z	Use Apex to add business logic and manipulate your data in Salesforce.	m-12458	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/apex_database/fab27840d343cc13934e9cf1f4a41dbc_badge.png	Beginner	learn	Salesforce Platform	Developer	Apex	Module	https://developer.salesforce.com/trailhead/module/apex_database/
Apex Testing	apex_testing	2019-05-25T00:00:00.000Z	Write robust code by executing Apex unit tests.	m-12460	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/apex_testing/2d3d525254af58a32f2325da207505ea_badge.png	Beginner	learn	Salesforce Platform	Developer	Apex	Module	https://developer.salesforce.com/trailhead/module/apex_testing/
Salesforce B2C Commerce Project Management	cc-project-mgmt	2018-09-24T00:00:00.000Z	Learn how to successfully manage B2C Commerce projects.	m-5232	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/cc-project-mgmt/36950d08166abf1b9c7d3a163f98db04_badge.png	Beginner	learn	Commerce Cloud	Business User	Partner	Module	https://developer.salesforce.com/trailhead/module/cc-project-mgmt/
Unit Testing on the Lightning Platform	unit-testing-on-the-lightning-platform	2018-09-24T00:00:00.000Z	Learn why testing helps you create better software and how to run various unit tests.	m-5234	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/unit-testing-on-the-lightning-platform/96a1ba783303c4f7d72aaba7b1d0dea3_badge.png	Intermediate	learn	Salesforce Platform, Lightning	Developer	Apex	Module	https://developer.salesforce.com/trailhead/module/unit-testing-on-the-lightning-platform/
Salesforce Agile Basics	salesforce-agile-basics	2018-09-24T00:00:00.000Z	Discover how Salesforce became agile and revolutionized product development.	m-5238	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/salesforce-agile-basics/f3d0b222a4401a69f93c241056da1945_badge.png	Beginner	learn	General	Business User, Developer	General	Module	https://developer.salesforce.com/trailhead/module/salesforce-agile-basics/
Package Development Readiness	package-development-readiness	2019-05-13T00:00:00.000Z	Get ready to break up your org's metadata and adopt package development.	m-11601	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/package-development-readiness/088cf66ec8bb9165852ae173267060e0_badge.png	Intermediate	learn	Salesforce Platform	Developer	App Lifecycle	Module	https://developer.salesforce.com/trailhead/module/package-development-readiness/
Lightning Design System for Developers	lightning_design_system	2019-05-13T00:00:00.000Z	Build pixel-perfect enterprise apps using our design guidelines and CSS framework.	m-11598	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/lightning_design_system/3de78ad6560eeeccee00459570817838_badge.png	Beginner	learn	Salesforce Platform, Lightning	Developer	Visualforce	Module	https://developer.salesforce.com/trailhead/module/lightning_design_system/
Apex & .NET Basics	apex_basics_dotnet	2019-05-25T00:00:00.000Z	Discover similarities between programming in .NET and Apex, and learn the basics of starting with Apex.	m-12455	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/apex_basics_dotnet/1e5f89c30eeecfb43f98e50cfe4fac96_badge.png	Beginner	learn	Salesforce Platform	Developer	Apex	Module	https://developer.salesforce.com/trailhead/module/apex_basics_dotnet/
Salesforce Career Exploration for Students	salesforce-career-exploration	2018-09-24T00:00:00.000Z	Prepare for your career and learn about jobs at Salesforce.	m-5253	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/salesforce-career-exploration/e76b68819cc639cf3328e5c367324629_badge.png	Beginner	learn	General	Business User	General	Module	https://developer.salesforce.com/trailhead/module/salesforce-career-exploration/
Sales Strategies for Retail Banking	sales-strategies-for-retail-banking	2019-05-25T00:00:00.000Z	Build a customer-centric sales model for your bank.	m-12582	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/sales-strategies-for-retail-banking/ef8e6eb1af608281d846e5caf3414e6c_badge.png	Beginner	learn	General	Business User	CRM	Module	https://developer.salesforce.com/trailhead/module/sales-strategies-for-retail-banking/
User Training and Motivation	user-training-and-motivation	2018-09-24T00:00:00.000Z	Learn how to support your Salesforce users and prepare them for success.	m-5260	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/user-training-and-motivation/ceca19aef1d6ec001b4d3e30d235cb2b_badge.png	Beginner	learn	Salesforce Success Cloud	Admin	General	Module	https://developer.salesforce.com/trailhead/module/user-training-and-motivation/
Drucker School—Organizational Change Leadership	drucker_org_change_leadership	2018-09-24T00:00:00.000Z	Stay competitive with the Drucker principles for driving change within your organization.	m-5270	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/drucker_org_change_leadership/eef3f724b0cd654456d9468b25444189_badge.png	Beginner	learn	General	Business User	General	Module	https://developer.salesforce.com/trailhead/module/drucker_org_change_leadership/
Atlassian Agile Basics	agile-basics	2018-09-24T00:00:00.000Z	Discover Atlassian's take on agile project management, work prioritization, teams, and ceremonies.	m-5277	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/agile-basics/eb9bfe8baf01c0596870a3a744503b89_badge.png	Beginner	learn	Salesforce Platform	Developer	App Lifecycle	Module	https://developer.salesforce.com/trailhead/module/agile-basics/
Sales Territory Planning	sales-territory-planning	2018-09-24T00:00:00.000Z	Use key metrics to plan sales territories that grow your bottom line.	m-5280	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/sales-territory-planning/fd3b3936710fd55898bd2e6f79038cee_badge.png	Beginner	learn	Sales Cloud	Business User	CRM	Module	https://developer.salesforce.com/trailhead/module/sales-territory-planning/
React Native	mobile_sdk_react_native	2019-01-29T00:00:00.000Z	Develop apps with React Native and the Salesforce Mobile SDK.	m-7368	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/mobile_sdk_react_native/50f5896b1d43a0eda1a16c983e196ef9_badge.png	Advanced	learn	Salesforce Platform	Developer	Mobile	Module	https://developer.salesforce.com/trailhead/module/mobile_sdk_react_native/
Consulting Partner Basics	consulting_partner_basics	2019-05-25T00:00:00.000Z	Plan, build, and manage your business as a Salesforce consulting partner.	m-12478	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/consulting_partner_basics/a476f896959596c72de35a166819afb5_badge.png	Beginner	learn	General	Admin, Developer	Partner	Module	https://developer.salesforce.com/trailhead/module/consulting_partner_basics/
Native iOS	mobile_sdk_native_ios	2019-05-25T00:00:00.000Z	Develop native iOS apps using Salesforce Mobile SDK.	m-12553	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/mobile_sdk_native_ios/7acf5b31736fa88143ada544bd30f9e8_badge.png	Advanced	learn	Salesforce Platform	Developer	Mobile	Module	https://developer.salesforce.com/trailhead/module/mobile_sdk_native_ios/
Lightning Experience for Salesforce Classic Users	lightning-experience-for-salesforce-classic-users	2019-04-02T00:00:00.000Z	Get comfortable with Lightning Experience so you can get back to work.	m-9438	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/lightning-experience-for-salesforce-classic-users/9ec5655410a11d408f469a5bf7d8a317_badge.png	Beginner	learn	Lightning	Business User	General	Module	https://developer.salesforce.com/trailhead/module/lightning-experience-for-salesforce-classic-users/
Platform Events Basics	platform_events_basics	2019-01-29T00:00:00.000Z	Deliver custom notifications within the Salesforce platform and in external apps.	m-7372	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/platform_events_basics/23b9a76b8b2a24bf3937cd648179c24f_badge.png	Intermediate	learn	Salesforce Platform	Developer	Integration	Module	https://developer.salesforce.com/trailhead/module/platform_events_basics/
Desk.com to Service Cloud Transition Basics	desk-com-to-service-cloud-transition-basics	2019-01-29T00:00:00.000Z	Assess your org readiness and plan the timing of your move to Service Cloud.	m-7373	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/desk-com-to-service-cloud-transition-basics/323763a4e03278104c463b511f4083f9_badge.png	Intermediate	learn	Service Cloud	Admin	CRM	Module	https://developer.salesforce.com/trailhead/module/desk-com-to-service-cloud-transition-basics/
Collaborative Forecasts Setup	collaborative_forecasts_setup	2019-05-25T00:00:00.000Z	Set up forecasts to enable users to predict sales revenue and quantities.	m-12477	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/collaborative_forecasts_setup/31e0e4611116de0573e43d53060a337e_badge.png	Intermediate	learn	Sales Cloud	Admin	CRM	Module	https://developer.salesforce.com/trailhead/module/collaborative_forecasts_setup/
Omni-Channel for Lightning Experience	omni-channel-lex	2019-05-25T00:00:00.000Z	Route work to the right agent for the job and get a complete view of your contact center.	m-12560	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/omni-channel-lex/ccc4c464f7b98d66cdb210d6833bf12f_badge.png	Intermediate	learn	Service Cloud	Admin	Apex, CRM	Module	https://developer.salesforce.com/trailhead/module/omni-channel-lex/
Health Cloud Basics	health-cloud-basics	2019-01-29T00:00:00.000Z	See how Salesforce Health Cloud makes patient care more collaborative and connected.	m-7376	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/health-cloud-basics/3541806c70a9e2847979403e2af6ef4c_badge.png	Beginner	learn	Health Cloud	Business User, Admin	Industries	Module	https://developer.salesforce.com/trailhead/module/health-cloud-basics/
AppExchange Partner Basics	isvforce_basics	2019-05-25T00:00:00.000Z	Build a business on the Salesforce platform with the AppExchange Partner Program.	m-12527	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/isvforce_basics/4c24dc52815094bef8e457762ce9ccb5_badge.png	Beginner	learn	Salesforce Platform	Admin, Developer	Partner	Module	https://developer.salesforce.com/trailhead/module/isvforce_basics/
IoT Basics	iot_basics	2019-04-02T00:00:00.000Z	Tailor your customer experience with Salesforce Internet of Things (IoT).	m-9440	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/iot_basics/f4f9846793cfa0d6899c3029c419a85d_badge.png	Intermediate	learn	Salesforce IoT	Business User	Integration	Module	https://developer.salesforce.com/trailhead/module/iot_basics/
Salesforce Release Strategies	sf_releases	2019-01-29T00:00:00.000Z	Learn how Salesforce releases new features and how your company can make the most of them.	m-7379	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/sf_releases/92c26e36df888c1aae727e17365eae5d_badge.png	Beginner	learn	General	Admin	General	Module	https://developer.salesforce.com/trailhead/module/sf_releases/
Desk.com Organization	desk_com_organization	2019-01-29T00:00:00.000Z	Use custom fields, labels, and views to organize your customer support cases.	m-7380	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/desk_com_organization/a3def3543840bd84afb38aaf53b1b74d_badge.png	Beginner	learn	Service Cloud	Admin	CRM	Module	https://developer.salesforce.com/trailhead/module/desk_com_organization/
Sales Analytics App	wave_apps_sales_wave	2019-01-29T00:00:00.000Z	Put Sales Cloud data to work with the powerful dashboards of the Analytics app.	m-7381	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/wave_apps_sales_wave/ef3f2e04df27b4279cba2a3f13bcc64b_badge.png	Intermediate	learn	Einstein Analytics	Admin	Reporting	Module	https://developer.salesforce.com/trailhead/module/wave_apps_sales_wave/
Desk.com Process Automation	desk_com_automation	2019-01-29T00:00:00.000Z	Save time and improve data quality with automated notifications, rules, and macros.	m-7382	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/desk_com_automation/631741125f2fb314a1c0f4c299f7ddd4_badge.png	Beginner	learn	Service Cloud	Admin	CRM	Module	https://developer.salesforce.com/trailhead/module/desk_com_automation/
Health Cloud Customization	health-cloud-customization	2019-01-29T00:00:00.000Z	Learn how to set up Salesforce Health Cloud for your unique organization.	m-7383	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/health-cloud-customization/14c0d4dd268222bde5fbb6f9722530d2_badge.png	Intermediate	learn	Health Cloud	Admin	Industries	Module	https://developer.salesforce.com/trailhead/module/health-cloud-customization/
Service Console Components	service_components	2019-01-29T00:00:00.000Z	Give your support agents everything they need on one screen.	m-7384	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/service_components/cbc274b929fa8a679cdd00b8cc2061e2_badge.png	Intermediate	learn	Service Cloud	Admin	General	Module	https://developer.salesforce.com/trailhead/module/service_components/
Salesforce B2C Commerce for Developers	cc-digital-for-developers	2019-04-02T00:00:00.000Z	Get to know the tools and technologies you use to develop for B2C Commerce.	m-9444	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/cc-digital-for-developers/1de6d2ff9437f3ae2f1ae524da4506ba_badge.png	Intermediate	learn	Commerce Cloud	Developer	General	Module	https://developer.salesforce.com/trailhead/module/cc-digital-for-developers/
Advanced Territory Management	advanced-territory-management	2019-05-25T00:00:00.000Z	Learn advanced skills for managing territories, including performance considerations.	m-12456	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/advanced-territory-management/9feb5614949545b23c6dd97b419ec3c1_badge.png	Advanced	learn	Sales Cloud	Admin	CRM	Module	https://developer.salesforce.com/trailhead/module/advanced-territory-management/
Mobile Analytics Exploration	wave_mobile_exploration	2019-01-29T00:00:00.000Z	Get ready to explore your company's data from your mobile device.	m-7387	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/wave_mobile_exploration/8836ef0a67a1d4c0eb2cc8b156d398c4_badge.png	Beginner	learn	Einstein Analytics	Business User, Admin	Reporting, Mobile	Module	https://developer.salesforce.com/trailhead/module/wave_mobile_exploration/
Lightning Experience Basics	lex_migration_introduction	2019-04-02T00:00:00.000Z	Explore our new user experience and learn how to enable it for your organization.	m-9445	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/lex_migration_introduction/b5c202960f99f458ada82441285fb64c_badge.png	Beginner	learn	Lightning	Admin, Developer	CRM	Module	https://developer.salesforce.com/trailhead/module/lex_migration_introduction/
Financial Services Cloud for Users	financial-services-cloud-for-users	2019-01-29T00:00:00.000Z	Learn the basics of working in Financial Services Cloud and watch your productivity soar.	m-7389	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/financial-services-cloud-for-users/eb8b59fa6529ffc0679d0d9d752377ce_badge.png	Beginner	learn	Financial Services Cloud	Business User	Industries	Module	https://developer.salesforce.com/trailhead/module/financial-services-cloud-for-users/
Call Center Integration for Lightning Experience	service_call	2019-01-29T00:00:00.000Z	Take customer calls by integrating your phone channel and service console.	m-7390	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/service_call/80d32b972cba6a97a834828310a3900e_badge.png	Beginner	learn	Service Cloud	Admin	CRM	Module	https://developer.salesforce.com/trailhead/module/service_call/
Search Solution Basics	search_solution_basics	2019-01-29T00:00:00.000Z	Learn how search works, navigate use cases, and optimize search results.	m-7391	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/search_solution_basics/13451b94bfc3075d7bbe5aaf67435b07_badge.png	Beginner	learn	General	Developer	General	Module	https://developer.salesforce.com/trailhead/module/search_solution_basics/
Innovation Solution	innovation_solution	2019-01-29T00:00:00.000Z	Learn how to craft a compelling solution story, business case, and implementation plan.	m-7392	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/innovation_solution/91043d416e7795ba7a94f0c1881992b0_badge.png	Beginner	learn	General	Business User, Admin	General	Module	https://developer.salesforce.com/trailhead/module/innovation_solution/
