Data_Source__c,Emission_Factor_Update_Year__c,GWP_KGCO2EKG__C,NAME,REFRIGERANT_NAME__C,RecordType
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,756,HFE-143a - 2018 revision,HFE-143a,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,2800,HFE-236ca12 (HG-10) - 2018 revision,HFE-236ca12 (HG-10),Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,708,HFE-245cb2 - 2018 revision,HFE-245cb2,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,659,HFE-245fa2 - 2018 revision,HFE-245fa2,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,359,HFE-254cb2 - 2018 revision,HFE-254cb2,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,1500,HFE-338pcc13 (HG-01) - 2018 revision,HFE-338pcc13 (HG-01),Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,575,HFE-347mcc3 - 2018 revision,HFE-347mcc3,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,580,HFE-347pcf2 - 2018 revision,HFE-347pcf2,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,110,HFE-356pcc3 - 2018 revision,HFE-356pcc3,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,1870,HFE-43-10pccc124 (H-Galden1040x) - 2018 revision,HFE-43-10pccc124 (H-Galden1040x),Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,297,HFE-449sl (HFE-7100) - 2018 revision,HFE-449sl (HFE-7100),Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,59,HFE-569sf2 (HFE-7200) - 2018 revision,HFE-569sf2 (HFE-7200),Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,5,Methyl bromide - 2018 revision,Methyl bromide,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,13,Methyl chloride - 2018 revision,Methyl chloride,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,146,Methyl chloroform - 2018 revision,Methyl chloroform,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,9,Methylene chloride - 2018 revision,Methylene chloride,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,17200,Nitrogen trifluoride - 2018 revision,Nitrogen trifluoride,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,8860,Perfluorobutane (PFC-3-1-10) - 2018 revision,Perfluorobutane (PFC-3-1-10),Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,10300,Perfluorocyclobutane (PFC-318) - 2018 revision,Perfluorocyclobutane (PFC-318),Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,17340,Perfluorocyclopropane - 2018 revision,Perfluorocyclopropane,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,12200,Perfluoroethane (PFC-116) - 2018 revision,Perfluoroethane (PFC-116),Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,9300,Perfluorohexane (PFC-5-1-14) - 2018 revision,Perfluorohexane (PFC-5-1-14),Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,7390,Perfluoromethane (PFC-14) - 2018 revision,Perfluoromethane (PFC-14),Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,9160,Perfluoropentane (PFC-4-1-12) - 2018 revision,Perfluoropentane (PFC-4-1-12),Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,8830,Perfluoropropane (PFC-218) - 2018 revision,Perfluoropropane (PFC-218),Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,7500,PFC-9-1-18 - 2018 revision,PFC-9-1-18,Refrigerants
