ZipCode__c,Name,EmissionFactorUpdateYear__c,SubRegion__c,State__c,City__c,Country__c,CO2__c,N2OLbGWh__c,CH4LbGWh__c,CO2eTotalLbMWh__c,CO2eTotalLbMWhMarketBased__c,OilMix__c,HydroMix__c,WindMix__c,GeothermalMix__c,BiomassMix__c,CoalMix__c,GasMix__c,NuclearMix__c,SolarMix__c,OtherFossilFuelMix__c,OtherUnknownPurchasedFuelMix__c,OilMixMarketBased__c,HydroMixMarketBased__c,WindMixMarketBased__c,GeothermalMixMarketBased__c,BiomassMixMarketBased__c,CoalMixMarketBased__c,GasMixMarketBased__c,NuclearMixMarketBased__c,SolarMixMarketBased__c,OtherFossilFuelMixMarketBased__c,OtherFuelMixMarketBased__c,DataSource__c
91977,91977 - eGRID2016,2018,CAMX,CA,Spring Valley,United States,527.862,4,33,529.889,529.889,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid
91978,91978 - eGRID2016,2018,CAMX,CA,Spring Valley,United States,527.862,4,33,529.889,529.889,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid
91979,91979 - eGRID2016,2018,CAMX,CA,Spring Valley,United States,527.862,4,33,529.889,529.889,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid
91980,91980 - eGRID2016,2018,CAMX,CA,Tecate,United States,527.862,4,33,529.889,529.889,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid
91987,91987 - eGRID2016,2018,CAMX,CA,Tecate,United States,527.862,4,33,529.889,529.889,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid
92003,92003 - eGRID2016,2018,CAMX,CA,Bonsall,United States,527.862,4,33,529.889,529.889,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid
92004,92004 - eGRID2016,2018,AZNM,CA,Borrego Springs,United States,1043.645,12,79,1049.048,1049.048,0.1,3.5,1.2,3.2,0.4,29.5,39.8,19.5,2.8,0,0,0.1,3.5,1.2,3.2,0.4,29.5,39.8,19.5,2.8,0,0,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid
92007,92007 - eGRID2016,2018,CAMX,CA,Cardiff By The Sea,United States,527.862,4,33,529.889,529.889,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid
92008,92008 - eGRID2016,2018,CAMX,CA,Carlsbad,United States,527.862,4,33,529.889,529.889,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid
92009,92009 - eGRID2016,2018,CAMX,CA,Carlsbad,United States,527.862,4,33,529.889,529.889,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid
92010,92010 - eGRID2016,2018,CAMX,CA,,United States,527.862,4,33,529.889,529.889,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid
92011,92011 - eGRID2016,2018,CAMX,CA,,United States,527.862,4,33,529.889,529.889,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid
92013,92013 - eGRID2016,2018,CAMX,CA,Carlsbad,United States,527.862,4,33,529.889,529.889,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid
92014,92014 - eGRID2016,2018,CAMX,CA,Del Mar,United States,527.862,4,33,529.889,529.889,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid
92018,92018 - eGRID2016,2018,CAMX,CA,Carlsbad,United States,527.862,4,33,529.889,529.889,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid
92019,92019 - eGRID2016,2018,CAMX,CA,El Cajon,United States,527.862,4,33,529.889,529.889,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid
92020,92020 - eGRID2016,2018,CAMX,CA,El Cajon,United States,527.862,4,33,529.889,529.889,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid
92021,92021 - eGRID2016,2018,CAMX,CA,El Cajon,United States,527.862,4,33,529.889,529.889,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid
92022,92022 - eGRID2016,2018,CAMX,CA,El Cajon,United States,527.862,4,33,529.889,529.889,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid
92023,92023 - eGRID2016,2018,CAMX,CA,Encinitas,United States,527.862,4,33,529.889,529.889,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid
92024,92024 - eGRID2016,2018,CAMX,CA,Encinitas,United States,527.862,4,33,529.889,529.889,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid
92025,92025 - eGRID2016,2018,CAMX,CA,Escondido,United States,527.862,4,33,529.889,529.889,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid
92026,92026 - eGRID2016,2018,CAMX,CA,Escondido,United States,527.862,4,33,529.889,529.889,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,0.1,12.1,7,4.1,2.9,4.3,48.4,9.4,10.6,0.7,0.2,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid
